Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:AFN Node Total Pressure [Pa](TimeStep),ExtNode   1:AFN Node Total Pressure [Pa](TimeStep),ExtNode   2:AFN Node Total Pressure [Pa](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 2:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 2 to Node 1 Volume Flow Rate [m3/s](TimeStep),GATE 4:AFN Linkage Node 1 to Node 2 Pressure Difference [Pa](TimeStep),GATE 2:AFN Surface Venting Window or Door Opening Factor [](TimeStep),GATE 4:AFN Surface Venting Window or Door Opening Factor [](TimeStep),ZONE_HALLE:AFN Zone Infiltration Volume [m3](TimeStep),ZONE_HALLE:AFN Zone Infiltration Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  02:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,781.8213436083169,0.0 
 01/15  03:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,782.014360852423,0.0 
 01/15  03:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,782.2058960472932,0.0 
 01/15  03:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,782.3959604459814,0.0 
 01/15  03:45:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,782.5845652194695,0.0 
 01/15  04:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,782.7717214555016,0.0 
 01/15  04:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,782.9574401577702,0.0 
 01/15  04:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,783.1417322517375,0.0 
 01/15  04:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,783.3246085779975,0.0 
 01/15  05:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,783.506079899613,0.0 
 01/15  05:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,783.6861568973401,0.0 
 01/15  05:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,783.8648501742866,0.0 
 01/15  05:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,784.0421702533497,0.0 
 01/15  06:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,784.2181275800106,0.0 
 01/15  06:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,784.3927325215192,0.0 
 01/15  06:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,784.5659953680588,0.0 
 01/15  06:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,784.7379263334442,0.0 
 01/15  07:00:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,784.9085355548887,0.0 
 01/15  07:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,785.0778330945179,0.0 
 01/15  07:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,785.2458289385542,0.0 
 01/15  07:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000007,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,785.4125330002282,0.0 
 01/15  08:00:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,785.5779551167509,0.0 
 01/15  08:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,785.7421050550183,0.0 
 01/15  08:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,785.9049925047441,0.0 
 01/15  08:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,1.1697866105513461,6.952124107825021,-4.612534653039857,0.0,17.825836557002233,-5.782337497273675,17.825811534321208,0.0,5.782321263591204,1.0,1.0,0.0,0.0,786.0666270869551,0.0 
