Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  12:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,788.4899673240726,0.0 
 01/15  13:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999993,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,788.6317072690001,0.0 
 01/15  13:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638653,6.091833438104618,6.887848933006334,2.0268064325462176,788.7723556953715,0.0 
 01/15  13:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,788.9119209407363,0.0 
 01/15  13:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,789.0504112826895,0.0 
 01/15  14:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,789.1878349344479,0.0 
 01/15  14:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,789.3242000483443,0.0 
 01/15  14:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,789.4595147154762,0.0 
 01/15  14:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,789.5937869657066,0.0 
 01/15  15:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,789.7270247684793,0.0 
 01/15  15:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,789.8592360342155,0.0 
 01/15  15:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,789.9904286124511,0.0 
 01/15  15:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,790.1206102940486,0.0 
 01/15  16:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,790.2497888121288,0.0 
 01/15  16:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,790.3779718398584,0.0 
